project,class,line_no,is_clover_covered,on_slicer4j_slice,on_porbs_slice,statement_ps,covered_ps,required_ps,pseudotested_ps,pit_total,pit_killed,pit_survived,pit_uncovered,statement_type,covered_porbs,covered_slicer4J,covgap_on_porbs_slice,covgap_on_slicer4j_slice
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,1,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,2,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,3,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,4,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,5,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,6,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,7,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,8,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,9,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,10,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,11,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,12,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,13,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,14,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,15,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,16,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,17,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,18,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,19,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,20,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,21,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,22,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,23,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,24,False,False,True,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,25,False,False,True,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,26,False,False,True,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,27,False,False,True,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,28,False,False,True,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,29,False,False,True,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,30,False,False,True,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,31,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,32,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,33,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,34,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,35,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,36,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,37,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,38,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,39,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,40,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,41,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,42,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,43,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,44,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,45,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,46,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,47,False,False,True,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,48,False,False,True,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,49,False,False,True,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,50,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,51,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,52,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,53,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,54,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,55,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,56,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,57,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,58,True,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,59,False,False,True,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,60,True,False,False,True,True,True,False,2,1,1,0,IF,False,False,True,True
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,61,True,False,False,True,True,True,False,0,0,0,0,THROW,False,False,True,True
tdebatty_java-string-similarity_RatcliffObershelp,RatcliffObershelp,62,False,False,False,,False,False,False,0,0,0,0,IF,False,False,False,False
